,pearsonr,p_val,mean_test_score
0,0.9965497019041151,5.3713418379149565e-216,0.5444492670304779
1,0.9994040163914218,1.9528465675422073e-291,4.3790482454983035
2,0.9999999942162842,0.0,0.026724278612170766
3,0.999999993948587,0.0,0.020050784645322246
4,0.9977188650995497,9.202157107524851e-234,6.023773664188481
5,0.9916659549702389,3.4979932311389233e-178,5.317712984551975
6,0.9907215484491071,1.377789318043916e-173,2.5823987810177185
7,0.9853596260671861,4.316617154786953e-154,2.16836895669705
8,0.9974817670339385,1.6234440225795663e-229,2.8052542573679147
9,0.9970067459301316,4.2671333022003565e-222,0.4422824852304673
10,0.9981517976355698,8.399944824220274e-243,0.7602145625460643
11,0.9766591146360101,3.192070964298897e-134,0.5442019072476982
12,0.9227662269099609,6.15502047591986e-84,0.23932284211776902
13,0.9872710906560946,4.57455521388798e-160,0.38763194580888427
14,0.9383789313446458,2.6303258029965375e-93,0.4208336539361753
15,0.8901400769911568,1.655877980479516e-69,0.19377916302350748
16,0.9976251354081995,4.93415936963562e-232,0.07922478071740711
17,0.9661335081660823,1.9178100506583396e-118,0.22368282244075896
18,0.9411443679975398,3.205263569145304e-95,0.1453959518096882
19,0.9920415762004938,3.706080807192204e-180,0.11192542784696742
20,0.9906602271924896,2.6369686047809532e-173,0.39838544632989786
21,0.9566128905761532,5.36807784156446e-108,0.19722696825093747
22,0.988881109338862,7.589687554028833e-166,0.3616832758456454
23,0.9998966003998513,0.0,1.3324147912222097
24,0.9989301942448631,2.7143920166981482e-266,1.5279445890460797
25,0.9986311856197532,1.0575299850787237e-255,0.5854714917930104
26,0.9880969387214228,6.21918277194856e-163,6.583495159050341
