Chalinolobus dwyeri
Rhinolophus pearsonii
Rhinolophus perditus
Rhinolophus philippinensis
Rhinolophus proconsulis
Rhinolophus pusillus
Rhinolophus refulgens
Rhinolophus rex
Rhinolophus robinsoni
Rhinolophus rouxii
Rhinolophus rufus
Rhinolophus ruwenzorii
Rhinolophus sakejiensis
Rhinolophus schnitzleri
Rhinolophus sedulus
Rhinolophus shameli
Rhinolophus shortridgei
Rhinolophus siamensis
Rhinolophus silvestris
Rhinolophus simulator
Rhinolophus sinicus
Rhinolophus smithersi
Rhinolophus stheno
Rhinolophus subbadius
Rhinolophus subrufus
Rhinolophus swinnyi
Rhinolophus tatar
Rhinolophus thailandensis
Rhinolophus thomasi
Rhinolophus trifoliatus
Rhinolophus virgo
Rhinolophus willardi
Rhinolophus xinanzhongguoensis
Rhinolophus yunanensis
Rhinolophus ziama
Asellia arabica
Asellia italosomalica
Asellia patrizii
Asellia tridens
Aselliscus dongbacana
Aselliscus stoliczkanus
Aselliscus tricuspidatus
Cloeotis percivali
Coelops frithii
Coelops robinsoni
Doryrhina camerunensis
Doryrhina cyclops
Hipposideros abae
Hipposideros alongensis
Hipposideros armiger
Hipposideros ater
Hipposideros atrox
Hipposideros beatus
Hipposideros bicolor
Hipposideros boeadii
Hipposideros breviceps
Hipposideros caffer
Hipposideros calcaratus
Hipposideros cineraceus
Hipposideros coronatus
Hipposideros corynophyllus
Hipposideros coxi
Hipposideros crumeniferus
Hipposideros curtus
Hipposideros demissus
Hipposideros diadema
Hipposideros dinops
Hipposideros doriae
Hipposideros durgadasi
Hipposideros dyacorum
Hipposideros edwardshilli
Hipposideros einnaythu
Hipposideros fuliginosus
Hipposideros fulvus
Hipposideros galeritus
Hipposideros gentilis
Hipposideros grandis
Hipposideros griffini
Hipposideros halophyllus
Hipposideros hypophyllus
Hipposideros inexpectatus
Hipposideros inornatus
Hipposideros jonesi
Hipposideros khaokhouayensis
Hipposideros khasiana
Hipposideros lamottei
Hipposideros lankadiva
Hipposideros larvatus
Hipposideros lekaguli
Hipposideros lylei
Hipposideros macrobullatus
Hipposideros madurae
Hipposideros maggietaylorae
Hipposideros marisae
Hipposideros megalotis
Hipposideros muscinus
Hipposideros nequam
Hipposideros nicobarulae
Hipposideros obscurus
Hipposideros orbiculus
Hipposideros papua
Hipposideros pelingensis
Hipposideros pendleburyi
Hipposideros pomona
Hipposideros pratti
Hipposideros pygmaeus
Hipposideros ridleyi
Hipposideros rotalis
Hipposideros ruber
Hipposideros scutinares
Hipposideros semoni
Hipposideros sorenseni
Hipposideros speoris
Hipposideros stenotis
Hipposideros sumbae
Hipposideros tephrus
Hipposideros turpis
Hipposideros wollastoni
Rhinonicteris aurantia
Macronycteris commersoni
Macronycteris gigas
Macronycteris thomensis
Hipposideros vittata
Paratriaenops auritus
Paratriaenops furcula
Paratriaenops pauliani
Triaenops afer
Triaenops menamena
Triaenops parvus
Triaenops persicus
Antrozous pallidus
Eptesicus nilssoni
Lasurius cinereus
Myotis mystacinus
Otonycteris hemprichii
Pipistrellus pipistrellus
Plecotus auritus
Vespertilio murinus
Harpiocephalus harpia
Harpiola grisea
Harpiola isodon
Murina aenea
Murina annamitica
Murina aurata
Murina balaensis
Murina beelzebub
Murina bicolor
Murina chrysochaetes
Murina cyclotis
Murina eleryi
Murina fanjingshanensis
Murina feae
Murina fionae
Murina florium
Murina fusca
Murina gracilis
Murina guilleni
Murina harpioloides
Murina harrisoni
Murina hilgendorfi
Murina hkakaboraziensis
Murina huttoni
Murina jaintiana
Murina kontumensis
Murina leucogaster
Murina lorelieae
Murina peninsularis
Murina pluvialis
Murina puta
Murina recondita
Murina rozendaali
Murina ryukyuana
Murina shuipuensis
Murina suilla
Murina tenebrosa
Murina tubinaris
Murina ussuriensis
Murina walstoni
Myotis adversus
Myotis aelleni
Myotis albescens
Myotis alcathoe
Myotis altarium
Myotis anjouanensis
Myotis annamiticus
Myotis annatessae
Myotis annectans
Myotis atacamensis
Myotis ater
Myotis attenboroughi
Myotis auriculus
Myotis australis
Myotis austroriparius
Myotis bechsteinii
Myotis blythii
Myotis bocagii
Myotis bombinus
Myotis borneoensis
Myotis brandti
Myotis bucharensis
Myotis californicus
Myotis capaccinii
Myotis chiloensis
Myotis chinensis
Myotis ciliolabrum
Myotis cobanensis
Myotis crypticus
Myotis csorbai
Myotis dasycneme
Myotis daubentoni
Myotis davidii
Myotis dieteri
Myotis diminutus
Myotis dinellii
Myotis dominicensis
Myotis elegans
Myotis emarginatus
Myotis escalerai
Myotis evotis
Myotis federatus
Myotis fimbriatus
Myotis findleyi
Myotis formosus
Myotis fortidens
Myotis frater
Myotis gomantongensis
Myotis goudoti
Myotis grisescens
Myotis hajastanicus
Myotis hasseltii
Myotis hermani
Myotis horsfieldii
Myotis hyrcanicus
Myotis ikonnikovi
Myotis indochinensis
Myotis insularum
Myotis izecksohni
Myotis keaysi
Myotis keenii
Myotis laniger
Myotis lavali
Myotis leibii
Myotis levis
Myotis longicaudatus
Myotis longipes
Myotis lucifugus
Myotis macrodactylus
Myotis macropus
Myotis macrotarsus
Myotis martiniquensis
Myotis melanorhinus
Myotis midastactus
Myotis moluccarum
Myotis montivagus
Myotis morrisi
Myotis muricola
Myotis myotis
Myotis nattereri
Myotis nesopolus
Myotis nigricans
Myotis nimbaensis
Myotis nipalensis
Myotis nictor
Myotis occultus
Myotis oreias
Myotis oxyotus
Myotis peninsularis
Myotis pequinius
Myotis petax
Myotis peytoni
Myotis phanluongi
Myotis pilosus
Myotis planiceps
Myotis pruinosus
Myotis punicus
Myotis ridleyi
Myotis riparius
Myotis rosseti
Myotis ruber
Myotis rufoniger
Myotis rufopictus
Myotis schaubi
Myotis scotti
Myotis secundus
Myotis septentrionalis
Myotis sibricus
Myotis sicarius
Myotis siligorensis
Myotis simus
Myotis sodalis
Myotis soror
Myotis stalkeri
Myotis thysanodes
Myotis tricolor
Myotis velifer
Myotis vivesi
Myotis volans
Myotis weberi
Myotis welwitschii
Myotis yanbarensis
Myotis yumanensis
Myotis zenatius
Submyotodon caliginosus
Submyotodon petersbuchensis
Submyotodon latirostris
Submyotodon moupinensis
Kerivoula africana
Kerivoula agnella
Kerivoula argentata
Kerivoula crypta
Kerivoula cuprosa
Kerivoula depressa
Kerivoula eriophora
Kerivoula flora
Kerivoula hardwickii
Kerivoula intermedia
Kerivoula kachinensis
Kerivoula krauensis
Kerivoula lanosa
Kerivoula lenis
Kerivoula minuta
Kerivoula muscina
Kerivoula myrella
Kerivoula papillosa
Kerivoula pellucida
Kerivoula phalaena
Kerivoula picta
Kerivoula smithii
Kerivoula titania
Kerivoula whiteheadi
Phoniscus aerosus
Phoniscus atrox
Phoniscus jagorii
Phoniscus papuensis
Afronycteris helios
Afronycteris nanus
Arielulus circumdatus
Arielulus cuprosus
Arielulus societatis
Bauerus dubiaquercus
Baeodon alleni
Baeodon gracilis
Barbastella barbastellus
Barbastella beijingensis
Barbastella caspica
Barbastella darjelingensis
Barbastella leucomelas
Cassistrellus dimissus
Chalinolobus gouldii
Chalinolobus morio
Chalinolobus neocaledonicus
Chalinolobus nigrogriseus
Chalinolobus picatus
Chalinolobus tuberculatus
Corynorhinus mexicanus
Corynorhinus rafinesqii
Corynorhinus townsendii
Eptesicus anatolicus
Eptesicus andinus
Eptesicus bobrinskoi
Eptesicus bottae
Eptesicus brasiliensis
Eptesicus chiriquinus
Eptesicus diminutus
Eptesicus floweri
Eptesicus furinalis
Eptesicus fuscus
Eptesicus gobiensis
Eptesicus guadeloupensis
Eptesicus hottentotus
Eptesicus innoxius
Eptesicus isabellinus
Eptesicus japonensis
Eptesicus kobayashii
Eptesicus nilssonii
Eptesicus ognevi
Eptesicus pachyomus
Eptesicus pachyotis
Eptesicus platyops
Eptesicus serotinus
Eptesicus taddeii
Eptesicus tatei
Euderma maculatum
Eudiscopus denticulus
Falsistrellus mackenziei
