Chalinolobus dwyeri
Enchisthenes hartii
Mesophylla macconnelli
Phyllops falcatus
Platyrrhinus albericoi
Platyrrhinus angustirostris
Platyrrhinus aquilus
Platyrrhinus aurarius
Platyrrhinus brachycephalus
Platyrrhinus chocoensis
Platyrrhinus dorsalis
Platyrrhinus fusciventris
Platyrrhinus helleri
Platyrrhinus incarum
Platyrrhinus infuscus
Platyrrhinus ismaeli
Platyrrhinus lineatus
Platyrrhinus masu
Platyrrhinus matapalensis
Platyrrhinus nitelinea
Platyrrhinus recifinus
Platyrrhinus umbratus
Platyrrhinus vittatus
Pygoderma bilabiatum
Sphaeronycteris toxophyllum
Stenoderma rufum
Sturnira angeli
Sturnira aratathomasi
Sturnira bakeri
Sturnira bidens
Sturnira bogotensis
Sturnira burtonlimi
Sturnira erythromos
Sturnira hondurensis
Sturnira koopmanhilli
Sturnira lilium
Sturnira ludovici
Sturnira luisi
Sturnira magna
Sturnira mistratensis
Sturnira mordax
Sturnira nana
Sturnira oporaphilum
Sturnira parvidens
Sturnira paulsoni
Sturnira perla
Sturnira sorianoi
Sturnira tildae
Uroderma bilobatum
Uroderma magnirostrum
Vampyressa melissa
Vampyressa pusilla
Vampyressa thyone
Vampyriscus bidens
Vampyriscus brocki
Vampyriscus nymphaeus
Vampyrodes caraccioli
Vampyrodes major
Furipterus horrens
Amorphochilus schnablii
Thyroptera devivoi
Thyroptera discifera
Thyroptera lavali
Thyroptera tricolor
Thyroptera wynneae
Myzopoda aurita
Myzopoda schliemanni
