,pearsonr,p_val,mean_test_score
0,0.9995087076169454,9.712703687012298e-300,0.13578103332250477
1,0.9998735541896181,0.0,11.127472653817538
2,0.9999952672696466,0.0,2.4864217311516907
3,0.999993611391495,0.0,2.1910840364933173
4,0.9996964896225212,1.922e-320,222.1719184444085
5,0.99873978608791,2.967928732400142e-259,214.92672083986707
6,0.9931625686760027,1.1618312707184452e-186,186.2377612378182
7,0.9858704925059825,1.3149018158393649e-155,146.44889503244795
8,0.9993137966999197,2.2356149870211646e-285,136.45870670724534
9,0.9985303519147403,1.1972297439478079e-252,0.21977026151016657
10,0.9997141887894019,5e-323,2.9478904277707576
11,0.9932464029644491,3.4394553731539056e-187,1.7843325561663461
12,0.9783568623193849,1.9648322357321685e-137,1.0352447244054448
13,0.9953785614123957,1.8642190543340897e-203,1.2137395365898427
14,0.9810668257366424,3.975659292396438e-143,1.2601483553460124
15,0.9511747310585905,4.894522875739765e-103,0.7032509160822263
16,0.991437953032455,5.005530211895935e-177,0.5766774556817292
17,0.9738500205098584,2.13901455387723e-129,0.8781077450137951
18,0.9106912965499848,5.88286593652743e-78,0.6562801103442467
19,0.9824944804567111,1.8153615023343415e-146,0.4776855930581134
20,0.997398855328993,3.994661901763874e-228,1.3932224559209243
21,0.9831126174924235,5.326509918445436e-148,0.8786603538017371
22,0.9915799585741202,9.624538682591814e-178,0.9113108143308947
23,0.999959342908539,0.0,4.459873060592952
24,0.999516381351583,2.0447472956674007e-300,4.26060164876399
25,0.998829613274192,1.9723033189739633e-262,3.1825561456262292
26,0.9990319762638161,1.3719697143020417e-270,11.673512130745674
