,pearsonr,p_val,mean_test_score
0,0.995769193734684,3.0317531415829253e-207,0.3924375454291808
1,0.9994588348513072,1.3908435955215841e-295,10.030314708412151
2,0.9999999866407822,0.0,0.028936847470710483
3,0.99999998187333,0.0,0.028745293097078774
4,0.9983561626001217,7.76979982481757e-248,203.1336591067875
5,0.992876082549476,6.665779850086023e-185,154.83707726051836
6,0.9692107225269615,1.7905156122734622e-122,144.0152381372509
7,0.9636400257310838,1.9223672396360392e-115,126.6167344665064
8,0.9983490642138941,1.189929631391531e-247,118.83179207217218
9,0.9902898965850754,1.2165589498413833e-171,0.6847027592821194
10,0.9980876565912246,2.453260721790909e-241,2.613912334393572
11,0.9809976314571992,5.685699126628473e-143,1.3448634426417374
12,0.9341934604760798,1.4270317445403642e-90,0.7255930797130679
13,0.98520861933386,1.1834148145756457e-153,0.8549572058788559
14,0.9533147855785312,6.438921098873006e-105,0.9050150463381992
15,0.8163987140241035,4.223577517318516e-49,0.615459189678976
16,0.9795698404417962,6.907936701466522e-140,0.4499339171767324
17,0.9166149691294923,8.894756836779606e-81,0.7026706856328905
18,0.845352664148412,8.164288327199796e-56,0.4175230200415983
19,0.9566643113535827,4.785630561238722e-108,0.3973181583834143
20,0.9813867232472833,7.47398245937948e-144,1.6218393172679668
21,0.9240189264300787,1.2988799532768398e-84,1.0213573940406595
22,0.9824674731024523,2.1118867413264227e-146,1.0733125308955522
23,0.9995411179691878,1.1317855880545064e-302,3.631944005774857
24,0.9975251898040505,2.9074109795690873e-230,2.521518637186179
25,0.9891102896838743,9.76360587821524e-167,3.3879737254939446
26,0.9955007404351895,1.3215971761371442e-204,13.15202440923121
